order_id,ordered_at,customer_id,product_id,qty,unit_price,discount_pct,channel
ORD000398,20/02/2026 16:01,C0095,P040,2,3990,0%,Marketplace
ORD000399,12/02/2026 11:47,C0102,P026,2,12900,0%,Mobile App
ORD000400,19/02/2026 15:10,C0078,P035,4,27195.0,0%,Web
ORD000401,16/02/2026 16:25,C0085,P013,3,499,10%,Marketplace
ORD000402,16/02/2026 20:27,C0084,P030,1,523.95,5%,Web
ORD000403,17/02/2026 06:30,C0107,P031,1,1490,0%,Mobile App
ORD000404,11/02/2026 18:58,C0100,P009,1,,10%,Marketplace
ORD000405,27/02/2026 09:47,C0070,P001,1,299,0%,Marketplace
ORD000406,04/02/2026 00:37,C0144,P035,3,23310.0,0%,Web
ORD000407,28/02/2026 08:21,C0100,P027,4,23310.0,10%,Web
ORD000408,27/02/2026 20:30,C0047,P032,2,25900,5%,Marketplace
ORD000409,17/02/2026 18:03,C0071,P035,3,27195.0,0%,Mobile App
ORD000410,19/02/2026 17:45,C0162,P004,3,1490,0%,Mobile App
ORD000411,10/02/2026 01:56,C0030,P025,1,25900,0%,Mobile App
ORD000412,11/02/2026 23:14,C0088,P025,2,25900,0%,Web
ORD000413,12/02/2026 05:32,C0125,P005,2,313.95,0%,Web
ORD000414,18/02/2026 15:53,C0072,P019,1,3591.0,0%,Web
ORD000415,15/02/2026 12:42,C0007,P037,4,24605.0,0%,Marketplace
ORD000416,06/02/2026 05:45,C0109,P023,2,299,0%,Mobile App
ORD000417,26/02/2026 00:25,C0075,P013,1,474.05,0%,Web
ORD000418,26/02/2026 17:39,C0097,P018,2,3790.5,5%,Marketplace
ORD000419,12/02/2026 23:28,C0015,P002,1,1341.0,10%,Marketplace
ORD000420,09/02/2026 09:44,C0056,P021,1,23310.0,10%,Mobile App
ORD000421,14/02/2026 04:43,C0160,P023,3,284.05,10%,Marketplace
ORD000422,27/02/2026 13:36,C0160,P001,3,299,0%,Mobile App
ORD000423,04/02/2026 18:44,C0047,P027,4,24605.0,0%,Web
ORD000424,19/02/2026 22:35,C0002,P007,1,24605.0,5%,Web
ORD000425,17/02/2026 18:53,C0145,P003,2,25900,0%,Web
ORD000426,25/02/2026 09:55,C0043,P027,4,25900,0%,Web
ORD000427,24/02/2026 02:11,C0137,P027,1,23310.0,0%,Mobile App
ORD000428,01/02/2026 09:32,C0036,P032,2,27195.0,0%,Mobile App
ORD000429,02/02/2026 17:59,C0036,P004,3,1490,0%,Web
ORD000430,19/02/2026 16:43,C0112,P037,4,25900,10%,Mobile App
ORD000431,05/02/2026 17:40,C0017,P019,1,3790.5,10%,Marketplace
ORD000432,04/02/2026 04:23,C0119,P025,4,25900,0%,Marketplace
ORD000433,11/02/2026 22:26,C0043,P009,2,284.05,5%,Mobile App
ORD000434,23/02/2026 16:44,C0114,P025,1,25900,10%,Mobile App
ORD000435,13/02/2026 04:16,C0130,P010,2,891.0,5%,Mobile App
ORD000436,20/02/2026 09:07,C0154,P009,1,299,10%,Marketplace
ORD000437,24/02/2026 08:52,C0059,P014,2,990,0%,Web
ORD000438,03/02/2026 17:34,C0106,P035,4,27195.0,0%,Mobile App
ORD000439,20/02/2026 02:29,C0112,P002,3,1564.5,0%,Mobile App
ORD000440,22/02/2026 17:06,C0063,P008,2,449.1,0%,Web
ORD000441,22/02/2026 07:08,C0032,P024,1,299,0%,Mobile App
ORD000442,23/02/2026 13:16,C0105,P010,1,1039.5,10%,Marketplace
ORD000443,19/02/2026 19:44,C0117,P003,4,24605.0,0%,Web
ORD000444,12/02/2026 16:42,C0030,P030,3,499,0%,Marketplace
ORD000445,10/02/2026 13:38,C0054,P025,1,24605.0,0%,Mobile App
ORD000446,09/02/2026 12:07,C0062,P012,1,990,0%,Mobile App
ORD000447,24/02/2026 03:42,C0085,P024,1,313.95,0%,Mobile App
ORD000448,15/02/2026 13:01,C0096,P004,2,1341.0,5%,Web
ORD000449,27/02/2026 08:06,C0038,P031,3,1341.0,0%,Web
ORD000450,08/02/2026 18:36,C0037,P011,1,25900,0%,Marketplace
ORD000451,15/02/2026 01:08,C0028,P032,4,27195.0,5%,Marketplace
ORD000452,12/02/2026 08:11,C0022,P005,4,299,0%,Mobile App
ORD000453,02/02/2026 03:17,C0105,P040,3,3990,5%,Web
ORD000454,17/02/2026 21:52,C0087,P011,1,27195.0,5%,Mobile App
ORD000455,16/02/2026 21:58,C0052,P022,3,523.95,0%,Web
ORD000456,19/02/2026 18:32,C0155,P039,3,990,10%,Web
ORD000457,10/02/2026 13:06,C0164,P032,1,25900,10%,Marketplace
ORD000458,12/02/2026 13:21,C0097,P040,3,3790.5,0%,Web
ORD000459,24/02/2026 08:54,C0070,P036,3,299,10%,Mobile App
ORD000460,17/02/2026 04:59,C0040,P011,3,27195.0,0%,Mobile App
ORD000461,12/02/2026 00:01,C0143,P015,2,299,10%,Mobile App
ORD000462,28/02/2026 03:21,C0077,P003,2,25900,5%,Mobile App
ORD000463,20/02/2026 13:20,C0062,P030,4,523.95,0%,Marketplace
ORD000464,21/02/2026 08:29,C0161,P017,1,1039.5,10%,Web
ORD000465,12/02/2026 07:50,C0002,P011,1,27195.0,10%,Mobile App
ORD000466,17/02/2026 18:53,C0044,P004,1,1341.0,0%,Mobile App
ORD000467,26/02/2026 11:09,C0117,P017,4,990,10%,Mobile App
ORD000468,15/02/2026 08:18,C0125,P008,1,449.1,0%,Mobile App
ORD000469,20/02/2026 23:00,C0033,P004,4,1415.5,5%,Marketplace
ORD000470,21/02/2026 21:44,C0076,P004,2,1415.5,0%,Mobile App
ORD000471,13/02/2026 13:59,C0068,P032,4,27195.0,0%,Web
ORD000472,06/02/2026 07:32,C0155,P017,2,1039.5,10%,Mobile App
ORD000473,06/02/2026 17:53,C0059,P005,1,299,0%,Marketplace
ORD000474,05/02/2026 22:44,C0008,P019,1,4189.5,0%,Web
ORD000475,15/02/2026 05:43,C0085,P018,2,3790.5,0%,Web
ORD000476,10/02/2026 18:54,C0006,P018,1,4189.5,0%,Mobile App
ORD000477,28/02/2026 08:44,C0092,P031,3,1341.0,0%,Marketplace
ORD000478,18/02/2026 15:30,C0097,P038,4,12900,0%,Web
ORD000479,22/02/2026 17:01,C0013,P009,1,269.1,0%,Mobile App
ORD000480,16/02/2026 08:07,C0029,P018,1,3790.5,0%,Mobile App
ORD000481,25/02/2026 14:58,C0052,P034,1,299,0%,Web
ORD000482,28/02/2026 09:31,C0036,P038,1,13545.0,0%,Web
ORD000483,04/02/2026 18:05,C0010,P037,2,25900,0%,Marketplace
ORD000484,01/02/2026 01:38,C0048,P016,1,1564.5,0%,Marketplace
ORD000485,23/02/2026 04:34,C0095,P017,4,891.0,0%,Web
ORD000486,02/02/2026 16:24,C0141,P021,2,23310.0,0%,Mobile App
ORD000487,03/02/2026 22:11,C0092,P010,1,990,0%,Mobile App
ORD000488,21/02/2026 22:27,C0073,P037,4,27195.0,0%,Web
ORD000489,21/02/2026 22:56,C0103,P010,1,990,0%,Web
ORD000490,05/02/2026 06:12,C0067,P028,1,299,0%,Web
ORD000491,03/02/2026 19:24,C0090,P026,1,12255.0,5%,Web
ORD000492,18/02/2026 23:25,C0105,P014,1,990,0%,Marketplace
ORD000493,24/02/2026 06:43,C0140,P022,4,499,0%,Web
ORD000494,21/02/2026 18:46,C0091,P025,1,24605.0,0%,Marketplace
ORD000495,01/02/2026 10:05,C0016,P016,2,1490,5%,Web
ORD000496,08/02/2026 04:50,C0007,P022,4,499,10%,Web
ORD000497,24/02/2026 17:26,C0138,P028,1,269.1,10%,Marketplace
ORD000498,06/02/2026 11:28,C0047,P003,2,24605.0,0%,Marketplace
ORD000499,07/02/2026 15:12,C0157,P024,1,269.1,0%,Mobile App
ORD000500,12/02/2026 10:25,C0106,P031,4,1490,10%,Web
ORD000501,27/02/2026 02:25,C0024,P001,1,284.05,0%,Marketplace
ORD000502,19/02/2026 12:08,C0013,P040,1,3591.0,10%,Mobile App
ORD000503,10/02/2026 11:55,C0022,P030,4,474.05,0%,Mobile App
ORD000504,18/02/2026 05:44,C0091,P005,2,313.95,0%,Mobile App
ORD000505,02/02/2026 01:42,C0148,P031,1,1341.0,0%,Web
ORD000506,19/02/2026 13:26,C0153,P007,2,27195.0,0%,Mobile App
ORD000507,24/02/2026 12:52,C0126,P011,1,25900,0%,Web
ORD000508,20/02/2026 22:36,C0129,P009,3,299,0%,Mobile App
ORD000509,18/02/2026 03:24,C0162,P029,4,3591.0,0%,Marketplace
ORD000510,10/02/2026 22:52,C0153,P010,4,1039.5,0%,Web
ORD000511,24/02/2026 16:52,C0106,P031,1,1490,10%,Web
ORD000512,10/02/2026 17:11,C0036,P017,4,1039.5,5%,Mobile App
ORD000513,25/02/2026 01:56,C0012,P022,1,474.05,0%,Web
ORD000514,03/02/2026 09:09,C0028,P023,3,313.95,5%,Web
ORD000515,02/02/2026 13:51,C0030,P012,3,990,10%,Web
ORD000516,11/02/2026 03:07,C0047,P002,2,1341.0,10%,Mobile App
ORD000517,01/02/2026 04:57,C0029,P003,3,25900,0%,Marketplace
ORD000518,05/02/2026 13:30,C0110,P015,1,299,0%,Marketplace
ORD000519,26/02/2026 04:26,C0012,P033,1,12900,0%,Mobile App
ORD000520,06/02/2026 15:46,C0114,P037,1,23310.0,10%,Marketplace
ORD000521,08/02/2026 11:24,C0020,P017,1,990,0%,Marketplace
ORD000522,03/02/2026 16:16,C0159,P002,2,1490,10%,Mobile App
ORD000523,13/02/2026 06:28,C0077,P032,2,25900,5%,Marketplace
ORD000524,21/02/2026 20:40,C0140,P011,1,25900,5%,Mobile App
ORD000525,06/02/2026 05:17,C0124,P040,1,3990,0%,Marketplace
ORD000526,23/02/2026 05:53,C0140,P007,1,25900,0%,Web
ORD000527,27/02/2026 01:27,C0154,P036,3,313.95,10%,Mobile App
ORD000528,12/02/2026 17:29,C0118,P030,2,499,5%,Marketplace
ORD000529,18/02/2026 00:14,C0071,P039,2,1039.5,5%,Web
ORD000530,06/02/2026 08:19,C0023,P036,1,299,0%,Marketplace
ORD000531,28/02/2026 13:46,C0009,P035,1,25900,10%,Marketplace
ORD000532,09/02/2026 23:58,C0135,P020,1,499,0%,Mobile App
ORD000533,25/02/2026 22:30,C0117,P035,2,25900,10%,Mobile App
ORD000534,17/02/2026 15:31,C0134,P015,1,313.95,0%,Marketplace
ORD000535,05/02/2026 23:37,C0068,P018,1,3790.5,10%,Mobile App
ORD000536,03/02/2026 06:33,C0015,P013,2,499,0%,Mobile App
ORD000537,16/02/2026 23:58,C0073,P031,1,1490,5%,Web
ORD000538,20/02/2026 19:01,C0133,P015,3,269.1,10%,Mobile App
ORD000539,23/02/2026 19:29,C0003,P001,1,284.05,0%,Marketplace
ORD000540,14/02/2026 08:20,C0017,P029,1,3790.5,10%,Marketplace
ORD000541,10/02/2026 16:41,C0094,P030,1,499,0%,Web
ORD000542,15/02/2026 18:56,C0030,P021,1,27195.0,10%,Marketplace
ORD000543,23/02/2026 13:02,C0108,P022,4,449.1,0%,Web
ORD000544,21/02/2026 01:50,C0125,P022,1,499,0%,Mobile App
ORD000545,15/02/2026 21:06,C0148,P010,2,990,0%,Marketplace
ORD000546,13/02/2026 10:01,C0004,P016,1,1415.5,0%,Marketplace
ORD000547,08/02/2026 07:16,C0008,P039,1,940.5,0%,Web
ORD000548,25/02/2026 01:20,C0121,P007,1,24605.0,0%,Mobile App
ORD000549,17/02/2026 10:45,C0086,P004,2,1490,0%,Marketplace
ORD000550,13/02/2026 15:12,C0164,P017,1,990,0%,Mobile App
ORD000551,10/02/2026 16:42,C0105,P005,2,313.95,10%,Marketplace
ORD000552,06/02/2026 04:25,C0066,P004,1,1490,10%,Web
ORD000553,28/02/2026 22:02,C0074,P028,2,313.95,5%,Marketplace
ORD000554,19/02/2026 09:59,C0028,P010,1,891.0,10%,Marketplace
ORD000555,05/02/2026 00:05,C0085,P007,4,25900,5%,Marketplace
ORD000556,07/02/2026 07:32,C0004,P032,2,23310.0,0%,Marketplace
ORD000557,06/02/2026 22:59,C0065,P025,4,27195.0,5%,Marketplace
ORD000558,17/02/2026 17:23,C0052,P034,2,313.95,10%,Marketplace
ORD000559,26/02/2026 16:49,C0123,P028,1,269.1,0%,Marketplace
ORD000560,22/02/2026 20:33,C0151,P005,4,284.05,0%,Mobile App
ORD000561,19/02/2026 10:31,C0005,P014,1,940.5,10%,Mobile App
ORD000562,28/02/2026 19:55,C0074,P019,1,4189.5,10%,Marketplace
ORD000563,08/02/2026 03:06,C0125,P037,4,23310.0,0%,Marketplace
ORD000564,18/02/2026 21:40,C0147,P023,4,299,0%,Mobile App
ORD000565,03/02/2026 17:43,C0132,P029,1,3990,0%,Web
ORD000566,04/02/2026 22:02,C0154,P020,3,523.95,0%,Marketplace
ORD000567,09/02/2026 01:16,C0059,P017,3,990,5%,Mobile App
ORD000568,08/02/2026 23:09,C0108,P008,2,474.05,10%,Web
ORD000569,19/02/2026 22:57,C0113,P010,2,891.0,5%,Marketplace
ORD000570,01/02/2026 02:53,C0030,P014,1,1039.5,0%,Marketplace
ORD000571,10/02/2026 19:27,C0040,P005,1,299,0%,Mobile App
ORD000572,04/02/2026 19:41,C0163,P020,2,499,5%,Web
ORD000573,25/02/2026 19:17,C0115,P040,3,3591.0,5%,Marketplace
ORD000574,03/02/2026 11:10,C0010,P022,3,499,0%,Mobile App
ORD000575,22/02/2026 06:29,C0154,P015,3,284.05,0%,Marketplace
ORD000576,27/02/2026 01:43,C0014,P003,2,27195.0,0%,Mobile App
ORD000577,28/02/2026 21:05,C0030,P020,1,449.1,0%,Mobile App
ORD000578,09/02/2026 03:11,C0039,P003,4,23310.0,5%,Marketplace
ORD000579,08/02/2026 06:46,C0086,P001,2,269.1,0%,Mobile App
ORD000580,26/02/2026 23:03,C0110,P033,2,11610.0,0%,Web
ORD000581,19/02/2026 23:30,C0036,P017,2,990,5%,Marketplace
ORD000582,06/02/2026 04:51,C0134,P016,2,1415.5,0%,Mobile App
ORD000583,19/02/2026 14:04,C0025,P032,2,27195.0,0%,Web
ORD000584,18/02/2026 20:32,C0039,P027,3,25900,10%,Marketplace
ORD000585,23/02/2026 05:34,C0028,P028,2,299,10%,Web
ORD000586,25/02/2026 15:32,C0133,P017,4,891.0,0%,Mobile App
ORD000587,27/02/2026 14:35,C0153,P015,1,299,10%,Mobile App
ORD000588,10/02/2026 23:33,C0038,P032,1,23310.0,0%,Mobile App
ORD000589,28/02/2026 02:47,C0031,P038,1,12255.0,0%,Mobile App
ORD000590,27/02/2026 17:19,C0139,P021,1,23310.0,0%,Marketplace
ORD000591,14/02/2026 09:53,C0039,P017,1,990,0%,Marketplace
ORD000592,14/02/2026 17:35,C0094,P011,2,27195.0,0%,Marketplace
ORD000593,13/02/2026 02:48,C0110,P009,2,299,0%,Web
ORD000594,10/02/2026 13:19,C0101,P005,1,299,0%,Marketplace
ORD000595,06/02/2026 15:57,C0036,P038,2,12900,0%,Web
ORD000596,12/02/2026 21:25,C0025,P013,2,474.05,5%,Web
ORD000597,02/02/2026 14:46,C0091,P022,1,499,5%,Marketplace
ORD000598,13/02/2026 05:42,C0082,P038,1,13545.0,0%,Marketplace
ORD000599,13/02/2026 09:16,C0068,P022,2,523.95,0%,Marketplace
ORD000600,22/02/2026 18:07,C0096,P014,2,990,5%,Web
ORD000601,03/02/2026 10:36,C0149,P037,2,24605.0,0%,Mobile App
ORD000602,10/02/2026 17:55,C0124,P025,1,24605.0,0%,Mobile App
ORD000603,23/02/2026 09:04,C0048,P027,1,27195.0,0%,Web
ORD000604,20/02/2026 19:17,C0137,P025,2,25900,10%,Web
ORD000605,09/02/2026 09:07,C0095,P001,2,269.1,5%,Mobile App
ORD000606,24/02/2026 08:24,C0132,P039,2,891.0,5%,Marketplace
ORD000607,19/02/2026 00:57,C0146,P008,4,523.95,5%,Marketplace
ORD000608,21/02/2026 21:51,C0082,P035,2,27195.0,10%,Marketplace
ORD000609,09/02/2026 00:21,C0122,P014,4,1039.5,0%,Web
ORD000610,17/02/2026 22:24,C0141,P006,1,299,5%,Mobile App
ORD000611,11/02/2026 09:32,C0063,P035,1,25900,0%,Mobile App
ORD000612,14/02/2026 05:20,C0139,P002,1,1341.0,0%,Marketplace
ORD000613,21/02/2026 20:52,C0082,P013,3,449.1,0%,Marketplace
ORD000614,01/02/2026 21:40,C0163,P035,2,25900,5%,Marketplace
ORD000615,27/02/2026 07:01,C0136,P003,4,24605.0,5%,Mobile App
ORD000616,01/02/2026 10:24,C0144,P040,2,3990,0%,Marketplace
ORD000617,25/02/2026 15:46,C0008,P017,2,891.0,10%,Marketplace
ORD000618,24/02/2026 20:02,C0100,P004,1,1415.5,0%,Marketplace
ORD000619,09/02/2026 12:09,C0126,P012,1,990,10%,Marketplace
ORD000620,27/02/2026 03:47,C0020,P003,2,27195.0,0%,Marketplace
ORD000621,17/02/2026 12:32,C0017,P031,2,1341.0,10%,Mobile App
ORD000622,26/02/2026 00:13,C0100,P001,3,299,0%,Web
ORD000623,14/02/2026 06:18,C0151,P017,1,940.5,0%,Web
ORD000624,11/02/2026 05:25,C0120,P038,1,11610.0,0%,Web
ORD000625,10/02/2026 10:36,C0065,P026,2,11610.0,5%,Web
ORD000626,17/02/2026 05:04,C0047,P010,3,1039.5,5%,Mobile App
ORD000627,15/02/2026 14:31,C0068,P013,1,474.05,10%,Marketplace
ORD000628,13/02/2026 21:25,C0137,P010,3,990,0%,Mobile App
ORD000629,10/02/2026 18:31,C0086,P036,2,284.05,0%,Mobile App
ORD000630,06/02/2026 04:23,C0040,P022,3,499,0%,Mobile App
ORD000631,04/02/2026 11:25,C0032,P040,1,3790.5,0%,Mobile App
ORD000632,21/02/2026 11:31,C0014,P004,4,1564.5,5%,Marketplace
ORD000633,05/02/2026 21:07,C0130,P014,1,940.5,0%,Web
ORD000634,12/02/2026 10:16,C0023,P025,3,25900,5%,Marketplace
ORD000635,21/02/2026 15:49,C0028,P006,3,313.95,0%,Marketplace
ORD000636,21/02/2026 07:26,C0071,P013,1,499,10%,Web
ORD000637,04/02/2026 08:39,C0041,P015,1,299,0%,Marketplace
ORD000638,03/02/2026 23:38,C0012,P012,4,990,0%,Mobile App
ORD000639,02/02/2026 17:17,C0017,P007,4,27195.0,0%,Web
ORD000640,28/02/2026 14:41,C0027,P002,2,1490,10%,Web
ORD000641,16/02/2026 20:20,C0086,P023,3,269.1,0%,Marketplace
ORD000642,12/02/2026 09:47,C0047,P001,1,269.1,5%,Mobile App
ORD000643,16/02/2026 00:40,C0087,P026,1,12255.0,0%,Marketplace
ORD000644,06/02/2026 08:04,C0112,P014,2,990,10%,Web
ORD000645,27/02/2026 00:09,C0017,P029,2,3990,5%,Web
ORD000646,08/02/2026 12:53,C0136,P001,1,269.1,0%,Mobile App
ORD000647,26/02/2026 20:49,C0071,P024,2,313.95,5%,Marketplace
ORD000648,19/02/2026 14:29,C0078,P012,2,990,0%,Mobile App
ORD000649,10/02/2026 11:21,C0090,P001,2,269.1,10%,Web
ORD000650,17/02/2026 19:43,C0080,P003,2,25900,0%,Mobile App
ORD000651,06/02/2026 13:24,C0104,P039,1,940.5,10%,Web
ORD000652,11/02/2026 02:58,C0034,P008,2,499,0%,Web
ORD000653,18/02/2026 19:13,C0120,P003,3,27195.0,0%,Marketplace
ORD000654,09/02/2026 04:48,C0142,P027,2,25900,0%,Web
ORD000655,14/02/2026 06:50,C0085,P037,1,25900,0%,Web
ORD000656,26/02/2026 21:00,C0007,P011,4,24605.0,0%,Web
ORD000657,02/02/2026 21:06,C0064,P033,4,12900,0%,Mobile App
ORD000658,18/02/2026 19:31,C0154,P008,3,499,0%,Web
ORD000659,04/02/2026 22:21,C0165,P033,2,11610.0,0%,Marketplace
ORD000660,01/02/2026 21:46,C0081,P012,2,891.0,0%,Marketplace
ORD000661,17/02/2026 12:59,C0161,P024,1,313.95,0%,Marketplace
ORD000662,18/02/2026 23:53,C0001,P031,2,1415.5,10%,Marketplace
ORD000663,03/02/2026 04:45,C0098,P020,1,449.1,5%,Mobile App
ORD000664,21/02/2026 00:03,C0054,P029,1,4189.5,10%,Marketplace
ORD000665,14/02/2026 14:26,C0072,P013,4,474.05,10%,Mobile App
ORD000666,10/02/2026 02:24,C0011,P016,1,1564.5,0%,Marketplace
ORD000667,15/02/2026 06:14,C0162,P010,3,940.5,5%,Marketplace
ORD000668,07/02/2026 19:17,C0056,P030,1,499,0%,Mobile App
ORD000669,27/02/2026 16:22,C0071,P018,1,3591.0,0%,Marketplace
ORD000670,21/02/2026 19:23,C0024,P032,1,24605.0,0%,Mobile App
ORD000671,17/02/2026 10:22,C0002,P019,2,3990,10%,Marketplace
ORD000672,13/02/2026 21:25,C0092,P001,1,269.1,10%,Marketplace
ORD000673,25/02/2026 00:45,C0041,P029,1,3990,0%,Mobile App
ORD000674,09/02/2026 10:08,C0057,P013,3,449.1,5%,Marketplace
ORD000675,09/02/2026 12:58,C0116,P025,1,25900,5%,Web
ORD000676,15/02/2026 08:26,C0137,P028,2,284.05,0%,Marketplace
ORD000677,22/02/2026 18:44,C0002,P018,2,3790.5,0%,Marketplace
ORD000678,13/02/2026 15:53,C0098,P022,1,499,0%,Marketplace
ORD000679,02/02/2026 07:10,C0140,P036,2,269.1,0%,Marketplace
ORD000680,24/02/2026 19:32,C0096,P003,1,25900,0%,Marketplace
ORD000681,15/02/2026 05:17,C0065,P012,2,990,5%,Mobile App
ORD000682,09/02/2026 05:17,C0021,P020,4,474.05,5%,Web
ORD000683,13/02/2026 15:47,C0101,P004,1,1490,0%,Marketplace
ORD000684,02/02/2026 09:17,C0106,P002,1,1490,0%,Web
ORD000685,13/02/2026 10:36,C0092,P010,1,940.5,0%,Mobile App
ORD000686,20/02/2026 03:36,C0121,P026,4,12900,0%,Marketplace
ORD000687,05/02/2026 06:30,C0001,P026,1,13545.0,0%,Web
ORD000688,08/02/2026 15:59,C0131,P016,1,1490,10%,Marketplace
ORD000689,02/02/2026 18:44,C0104,P022,4,449.1,0%,Web
ORD000690,21/02/2026 07:13,C0093,P035,2,24605.0,0%,Mobile App
ORD000691,14/02/2026 20:23,C0152,P022,1,499,10%,Web
ORD000692,13/02/2026 12:15,C0124,P008,1,499,0%,Mobile App
ORD000693,16/02/2026 18:58,C0071,P024,2,313.95,0%,Marketplace
ORD000694,19/02/2026 11:27,C0102,P025,3,23310.0,0%,Web
ORD000695,26/02/2026 01:31,C0032,P036,2,284.05,0%,Web
ORD000696,04/02/2026 06:18,C0134,P016,1,1415.5,5%,Mobile App
ORD000697,25/02/2026 13:43,C0031,P030,4,523.95,5%,Web
ORD000698,16/02/2026 10:04,C0089,P024,4,269.1,10%,Web
ORD000699,22/02/2026 10:52,C0086,P012,3,891.0,0%,Mobile App
ORD000700,22/02/2026 21:48,C0074,P035,4,25900,0%,Mobile App
ORD000701,05/02/2026 17:38,C0022,P023,1,269.1,5%,Mobile App
ORD000702,18/02/2026 09:00,C0045,P027,1,23310.0,5%,Mobile App
ORD000703,23/02/2026 17:10,C0128,P007,2,23310.0,0%,Marketplace
ORD000704,25/02/2026 10:21,C0056,P029,2,3790.5,0%,Marketplace
ORD000705,28/02/2026 23:21,C0124,P031,1,1341.0,0%,Web
ORD000706,24/02/2026 16:43,C0122,P015,3,313.95,10%,Mobile App
ORD000707,08/02/2026 09:26,C0048,P032,1,23310.0,10%,Web
ORD000708,02/02/2026 20:37,C0036,P013,4,499,0%,Mobile App
ORD000709,18/02/2026 10:54,C0119,P011,4,24605.0,10%,Web
ORD000710,04/02/2026 05:58,C0032,P013,2,523.95,0%,Web
ORD000711,05/02/2026 05:48,C0002,P009,3,313.95,0%,Marketplace
ORD000712,27/02/2026 12:33,C0081,P029,2,3990,10%,Marketplace
ORD000713,18/02/2026 09:46,C0035,P030,2,499,10%,Marketplace
ORD000714,06/02/2026 11:29,C0084,P020,3,474.05,5%,Web
ORD000715,24/02/2026 12:52,C0150,P023,1,313.95,0%,Web
ORD000716,19/02/2026 23:59,C0050,P001,1,299,5%,Mobile App
ORD000717,08/02/2026 11:06,C0115,P032,4,25900,5%,Marketplace
ORD000718,20/02/2026 02:41,C0011,P012,1,940.5,0%,Marketplace
ORD000719,06/02/2026 13:15,C0158,P039,1,940.5,0%,Mobile App
ORD000720,23/02/2026 23:02,C0057,P039,4,940.5,0%,Web
ORD000721,09/02/2026 12:51,C0032,P010,3,990,0%,Web
ORD000722,04/02/2026 10:53,C0035,P019,1,4189.5,0%,Mobile App
ORD000723,16/02/2026 16:06,C0112,P006,2,284.05,0%,Mobile App
ORD000724,12/02/2026 23:57,C0043,P018,1,3990,0%,Web
ORD000725,24/02/2026 12:26,C0078,P020,1,499,0%,Web
ORD000726,15/02/2026 13:06,C0062,P036,1,313.95,0%,Mobile App
ORD000727,11/02/2026 18:43,C0024,P003,1,27195.0,0%,Web
ORD000728,11/02/2026 00:52,C0111,P010,2,940.5,5%,Web
